日期	销售额
2021/4/26	98
2021/4/27	43
2021/4/28	87
2021/4/29	56
2021/4/30	76
2021/5/1	123
2021/5/2	98
2021/5/3	89
2021/5/4	78
2021/5/5	98
2021/5/6	93
2021/5/7	73
2021/5/8	76
2021/5/9	92
2021/5/10	102
2021/5/11	106
2021/5/12	109
2021/5/13	112
2021/5/14	116
2021/5/15	119
2021/5/16	108
2021/5/17	193
2021/5/18	142
2021/5/19	98
2021/5/20	65
2021/5/21	98
2021/5/22	34
2021/5/23	96
2021/5/24	84
2021/5/25	96
2021/5/26	95
2021/5/27	95
2021/5/28	94
2021/5/29	84
2021/5/30	88
2021/5/31	99
2021/6/1	87
2021/6/2	96
2021/6/3	85
2021/6/4	76
2021/6/5	98
2021/6/6	65
